"","marital_status","application_mode","course","attendance_mode","previous_qualification","nationality","mother_qualification","father_qualification","mother_occupation","father_occupation","displaced","educational_special_needs","debtor","gender","scholarship_holder","age_at_enrollment","international","outcome","dropout"
"1",1,8,2,1,1,1,13,10,6,10,1,0,0,1,0,20,0,"Dropout",1
"2",1,6,11,1,1,1,1,3,4,4,1,0,0,1,0,19,0,"Graduate",0
"3",1,1,5,1,1,1,22,27,10,10,1,0,0,1,0,19,0,"Dropout",1
"4",1,8,15,1,1,1,23,27,6,4,1,0,0,0,0,20,0,"Graduate",0
"5",2,12,3,0,1,1,22,28,10,10,0,0,0,0,0,45,0,"Graduate",0
"6",2,12,17,0,12,1,22,27,10,8,0,0,1,1,0,50,0,"Graduate",0
"7",1,1,12,1,1,1,13,28,8,11,1,0,0,0,1,18,0,"Graduate",0
"8",1,9,11,1,1,1,22,27,10,10,1,0,0,1,0,22,0,"Dropout",1
"9",1,1,10,1,1,15,1,1,10,10,0,0,0,0,1,21,1,"Graduate",0
"10",1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,18,0,"Dropout",1
"11",1,1,14,1,1,1,23,14,6,8,1,0,0,0,0,18,0,"Graduate",0
"12",1,1,12,1,1,1,13,28,10,10,1,0,0,0,1,18,0,"Graduate",0
"13",1,1,16,1,1,1,13,27,5,10,1,0,0,0,0,19,0,"Dropout",1
"14",1,17,11,1,16,1,1,1,5,8,1,0,0,0,1,21,0,"Graduate",0
"15",1,1,6,1,1,1,23,27,6,6,1,0,0,0,1,18,0,"Graduate",0
"16",1,1,15,1,1,1,13,27,10,4,1,0,0,0,0,20,0,"Dropout",1
"17",1,8,12,1,1,1,13,1,6,5,1,0,0,0,0,18,0,"Graduate",0
"18",1,1,8,1,1,1,3,14,4,6,1,0,0,0,0,20,0,"Graduate",0
"19",1,1,2,1,1,1,1,1,10,9,0,0,0,0,1,21,0,"Graduate",0
"20",1,1,12,1,1,1,13,14,2,2,1,0,0,0,0,18,0,"Graduate",0
"21",1,1,14,1,1,1,1,28,5,8,1,0,0,0,1,19,0,"Graduate",0
"22",1,1,12,1,1,1,13,14,4,8,0,0,0,0,0,19,0,"Graduate",0
"23",1,8,10,1,1,1,13,28,8,9,1,0,0,0,0,21,0,"Graduate",0
"24",1,1,9,1,1,1,13,1,10,10,1,0,0,0,0,20,0,"Graduate",0
"25",1,16,5,1,1,1,27,3,16,22,1,0,0,1,0,20,0,"Graduate",0
"26",1,9,3,0,1,1,13,1,10,6,1,0,0,0,0,19,0,"Graduate",0
"27",1,1,17,0,1,1,2,27,4,10,0,0,0,1,0,34,0,"Graduate",0
"28",1,12,1,1,1,1,23,27,10,7,0,0,1,1,0,37,0,"Dropout",1
"29",1,12,7,1,8,1,19,27,1,1,1,0,0,1,0,43,0,"Dropout",1
"30",1,14,9,1,1,1,22,27,7,7,0,0,0,0,0,55,0,"Dropout",1
"31",4,12,17,0,1,1,13,14,10,4,1,0,0,0,0,39,0,"Graduate",0
"32",1,15,8,1,14,3,4,4,4,7,0,0,1,0,0,20,1,"Dropout",1
"33",1,1,15,1,1,1,3,3,3,3,0,0,1,0,0,18,0,"Dropout",1
"34",1,1,9,1,1,1,3,14,3,8,1,0,0,0,0,22,0,"Graduate",0
"35",1,1,12,1,1,1,1,3,3,3,1,1,0,0,0,22,0,"Graduate",0
"36",1,8,15,1,1,1,1,28,6,6,0,0,0,0,0,20,0,"Dropout",1
"37",1,12,17,0,1,1,22,27,10,10,0,0,0,0,0,29,0,"Dropout",1
"38",1,8,10,1,1,1,13,14,10,10,1,0,0,0,0,18,0,"Graduate",0
"39",1,8,12,1,1,1,22,14,8,8,1,0,0,0,1,22,0,"Graduate",0
"40",1,15,3,0,14,1,1,14,10,10,0,0,0,0,1,21,0,"Graduate",0
"41",1,1,10,1,1,1,22,28,10,10,0,0,0,0,1,19,0,"Graduate",0
"42",1,12,11,1,1,1,13,28,10,8,0,0,0,0,1,24,0,"Graduate",0
"43",1,1,8,1,1,1,22,27,12,12,0,0,0,0,0,19,0,"Graduate",0
"44",1,12,17,0,1,1,23,28,10,10,0,0,0,0,0,27,0,"Dropout",1
"45",1,1,12,1,1,1,1,14,6,6,1,0,0,0,0,18,0,"Graduate",0
"46",2,4,11,1,3,1,1,3,5,4,0,0,0,0,0,39,0,"Dropout",1
"47",1,12,8,1,15,1,3,3,3,3,1,0,0,0,0,27,0,"Dropout",1
"48",1,8,12,1,1,1,23,28,8,11,1,0,0,0,0,18,0,"Graduate",0
"49",1,1,12,1,1,1,13,14,10,10,0,0,0,0,0,18,0,"Graduate",0
"50",1,15,10,1,14,1,13,1,10,10,0,0,0,0,1,21,0,"Graduate",0
"51",4,13,12,1,12,1,1,1,6,6,1,0,0,1,0,29,0,"Dropout",1
"52",1,1,2,1,1,1,13,14,6,4,1,0,0,1,1,19,0,"Graduate",0
"53",1,15,4,1,14,1,13,27,10,10,1,0,0,1,0,23,0,"Graduate",0
"54",1,1,9,1,1,1,1,28,8,8,0,0,1,1,0,19,0,"Dropout",1
"55",1,8,12,1,1,1,22,14,9,5,0,0,0,1,0,24,0,"Graduate",0
"56",1,1,2,1,1,1,13,14,6,11,1,0,0,1,0,19,0,"Dropout",1
"57",1,8,11,1,1,1,23,27,6,8,1,0,0,1,0,18,0,"Dropout",1
"58",1,1,15,1,1,1,23,28,10,10,1,0,0,1,0,18,0,"Graduate",0
"59",1,8,9,1,1,1,13,14,5,8,1,0,1,1,0,18,0,"Dropout",1
"60",1,9,11,1,1,1,13,27,8,8,1,0,0,1,1,21,0,"Dropout",1
"61",1,8,15,1,1,1,1,14,10,9,1,0,1,1,1,19,0,"Graduate",0
"62",1,8,12,1,1,1,23,27,10,10,0,0,0,1,1,22,0,"Graduate",0
"63",2,12,3,0,1,1,22,27,10,7,0,0,0,1,0,33,0,"Graduate",0
"64",1,1,16,1,1,1,13,14,10,10,1,0,0,1,0,20,0,"Dropout",1
"65",1,12,17,0,2,1,3,3,3,3,1,0,0,1,0,35,0,"Dropout",1
"66",1,12,4,1,4,1,3,3,5,3,0,0,1,1,0,24,0,"Dropout",1
"67",2,12,3,0,1,1,22,27,10,7,1,0,0,0,0,33,0,"Graduate",0
"68",1,13,12,1,1,1,22,28,10,8,1,0,0,0,1,22,0,"Graduate",0
"69",1,12,14,1,1,1,1,14,5,6,0,0,0,0,1,25,0,"Graduate",0
"70",1,8,5,1,1,1,13,28,5,1,1,0,0,1,0,20,0,"Graduate",0
"71",1,12,12,1,1,1,1,1,5,11,0,0,0,1,0,24,0,"Dropout",1
"72",1,8,15,1,1,14,13,1,10,10,1,0,0,0,0,21,1,"Graduate",0
"73",1,6,8,1,1,14,1,1,5,5,0,0,0,0,0,26,1,"Dropout",1
"74",2,12,16,1,8,1,22,24,1,1,0,0,0,0,0,39,0,"Dropout",1
"75",2,12,3,0,1,1,22,14,10,10,0,0,0,0,0,44,0,"Graduate",0
"76",1,1,15,1,1,1,22,1,6,6,1,0,0,0,0,18,0,"Graduate",0
"77",1,1,12,1,1,1,22,27,8,8,1,0,0,0,1,18,0,"Graduate",0
"78",1,1,12,1,1,1,3,3,3,3,1,0,1,0,0,19,0,"Dropout",1
"79",1,17,6,1,16,1,23,28,10,10,0,0,0,0,0,21,0,"Dropout",1
"80",1,1,2,1,1,1,1,1,10,11,1,0,0,0,0,20,0,"Graduate",0
"81",2,12,3,0,1,1,22,27,7,6,1,0,0,0,0,36,0,"Dropout",1
"82",4,12,4,1,9,1,22,27,10,7,0,0,0,0,0,43,0,"Graduate",0
"83",1,9,16,1,1,1,13,14,10,8,1,0,0,0,0,19,0,"Dropout",1
"84",1,16,5,1,1,1,3,1,3,9,0,0,1,0,0,20,0,"Graduate",0
"85",1,1,10,1,1,1,22,28,5,8,1,0,0,0,0,19,0,"Dropout",1
"86",1,1,6,1,1,1,1,1,5,5,1,0,0,0,0,20,0,"Dropout",1
"87",1,1,12,1,1,1,3,4,5,4,1,0,0,0,0,20,0,"Dropout",1
"88",1,1,10,1,1,1,22,27,7,8,1,0,0,0,0,18,0,"Graduate",0
"89",1,1,6,1,1,1,13,14,10,10,1,0,0,0,0,19,0,"Graduate",0
"90",1,1,15,1,1,1,1,28,5,8,1,0,0,0,0,18,0,"Graduate",0
"91",1,8,12,1,1,1,22,27,10,10,1,0,0,0,0,18,0,"Dropout",1
"92",1,1,6,1,1,1,22,28,10,8,0,0,0,0,0,18,0,"Graduate",0
"93",1,1,9,1,1,1,2,14,5,6,0,0,0,0,0,18,0,"Graduate",0
"94",1,8,11,1,1,1,1,1,5,6,1,0,0,0,0,21,0,"Dropout",1
"95",1,1,9,1,1,1,13,14,10,8,1,0,0,0,0,19,0,"Graduate",0
"96",1,1,2,1,1,1,3,14,3,10,0,0,0,0,0,19,0,"Dropout",1
"97",1,1,14,1,1,1,23,28,10,10,0,0,0,0,1,19,0,"Graduate",0
"98",1,1,6,1,1,1,13,28,5,8,1,0,0,0,0,19,0,"Graduate",0
"99",1,8,13,1,1,1,1,1,5,6,1,0,0,0,0,19,0,"Dropout",1
"100",1,15,6,1,14,1,22,27,10,10,1,0,0,0,0,20,0,"Graduate",0
"101",1,8,10,1,1,1,1,29,6,4,1,0,0,0,0,18,0,"Graduate",0
"102",1,8,12,1,1,1,1,27,9,10,1,0,0,0,0,19,0,"Graduate",0
"103",1,1,12,1,1,1,13,14,6,9,1,0,0,0,1,18,0,"Dropout",1
"104",1,8,5,1,1,1,22,27,10,10,1,0,0,0,0,18,0,"Graduate",0
"105",1,1,9,1,1,1,1,14,5,9,1,0,0,0,0,19,0,"Graduate",0
"106",1,8,12,1,1,1,1,14,4,4,1,0,0,0,0,19,0,"Dropout",1
"107",1,14,10,1,1,1,23,27,10,8,0,0,0,0,0,20,0,"Graduate",0
"108",1,1,14,1,1,1,1,28,4,10,0,0,1,0,1,19,0,"Dropout",1
"109",1,8,14,1,1,1,13,14,6,6,1,0,0,0,0,20,0,"Graduate",0
"110",1,1,15,1,1,1,1,1,20,39,0,0,1,0,1,18,0,"Graduate",0
"111",1,9,12,1,1,1,13,1,5,9,0,0,0,0,0,18,0,"Graduate",0
"112",1,1,12,1,1,1,22,27,10,10,1,0,0,0,0,19,0,"Graduate",0
"113",1,1,15,1,1,1,13,1,5,5,1,0,0,0,1,19,0,"Graduate",0
"114",1,1,10,1,1,1,1,10,10,11,1,0,0,0,1,19,0,"Graduate",0
"115",1,1,12,1,1,1,13,14,10,8,1,0,0,0,1,19,0,"Graduate",0
"116",1,8,16,1,1,1,22,28,6,7,1,0,0,0,1,19,0,"Graduate",0
"117",1,1,11,1,1,1,10,14,10,10,1,0,0,0,0,19,0,"Dropout",1
"118",1,8,11,1,1,1,1,27,10,11,1,0,0,0,0,20,0,"Dropout",1
"119",1,1,9,1,1,1,3,14,3,11,0,0,0,0,0,18,0,"Graduate",0
"120",1,1,12,1,1,1,1,14,10,10,0,0,0,0,1,20,0,"Graduate",0
"121",1,1,6,1,1,1,1,28,5,8,0,0,0,0,0,19,0,"Graduate",0
"122",1,1,16,1,1,1,22,27,10,10,1,0,0,0,0,18,0,"Graduate",0
"123",1,14,16,1,1,1,3,27,3,6,1,0,0,0,0,21,0,"Dropout",1
"124",1,1,16,1,1,1,23,27,7,7,0,0,0,0,0,19,0,"Dropout",1
"125",1,1,9,1,1,1,23,28,10,10,0,0,0,0,1,18,0,"Graduate",0
"126",1,8,10,1,1,1,1,27,8,10,1,0,0,0,1,18,0,"Graduate",0
"127",1,1,10,1,1,1,13,1,10,11,1,0,0,0,0,20,0,"Graduate",0
"128",1,12,3,0,1,1,1,14,7,9,0,0,0,0,1,24,0,"Graduate",0
"129",1,1,14,1,1,1,13,1,5,2,0,0,0,0,0,19,0,"Dropout",1
"130",1,1,12,1,1,1,13,27,10,8,1,0,0,0,1,18,0,"Graduate",0
"131",1,1,12,1,1,1,13,14,10,10,1,0,0,0,0,18,0,"Graduate",0
"132",1,8,16,1,1,1,10,10,5,5,1,0,0,0,0,21,0,"Dropout",1
"133",1,8,14,1,1,1,1,14,6,5,0,0,0,0,0,19,0,"Graduate",0
"134",1,8,15,1,1,1,13,27,8,8,0,0,0,0,1,19,0,"Graduate",0
"135",1,8,10,1,1,1,13,14,8,9,0,0,0,0,0,19,0,"Graduate",0
"136",1,12,12,1,3,1,2,2,2,2,0,0,0,0,0,29,0,"Graduate",0
"137",1,14,10,1,1,1,13,14,5,9,1,0,0,0,0,21,0,"Dropout",1
